name,tokens/k,cost/$
46c629e4918166b75671f1fa6a6f467bd1948abbf0e9e4ea30f5d0e5fdfd84f4,3.485,0.022266
47ae084ef854a1c6664595f4369b15d386c95219f850584f2ae9e65b41c6441f,3.372,0.020916
47b3c091ff42a93e913d777f5db830f9ccc2d150ce610d4d7e74c8c0f7510167,8.707,0.071404
47f2e16177373b0f0fc9ea80f468030c39808d1a8c72271f71a7358a4a1bc0e5,3.958,0.032186
48a9a72aa60171651952026dbc5cfd00a1c1c203077d3886235ae9bca511a103,3.728,0.029499
48bb6fd2791074d268a49c4d74c979defd436d9f6d50befe1fba6e5ff4504888,3.287,0.025218
48f477c0e4bbd9090ccc351302523fc8db1d9a94ecea1a7d90059e01757dc8a9,1.672,0.011427
49a7b41b6e7c4fe1fc05b022ff16e01d6e1cc88d855b70871213d7bf30c41023,8.662,0.04461
49faf4c5558260bd21805db8edb29d3a1a5395a9ce5f93edd73d1eb87f360317,0.324,0.002749
50e2677453fb89b7ba30c1e93a8bde682d4cd2ea37cfc3a8652b5adfead9e573,4.266,0.030924
50fd4a601f5165a93a50bdef41f255f7d4242c31c4413095e9d294f7029c1b3e,1.776,0.012208
51bd880654939f595158f3da086ce3b4e10bca532fda5b3c03033ac55e672ae7,2.237,0.013706
51ee81dbc0add93b11aa0d4ad02308243c1c194b4bed94722cb18bcf8f2836cf,6.756,0.055962
52def964142be6891054d2f95256a3b05d66887964fcd66b34abfe32477e8965,1.519,0.010808
52e5ccee227c8383423207f90090c8583d2cf019e761982320cc80daf84d9d06,2.704,0.020013
52fd1baa60c9e16af74b9e71800d763eea08fd6f84a2b609f6abc4838bccf20e,5.107,0.043431
53b9f1204f512237fc0b8969ae2c98d1ed3d904e4acc2d096a2e3d9f6577fbe7,2.884,0.02793
53bd916199723025efd5ec37ae18aab1d1e519ea93e135b38e2b70cc4abf1bf6,1.543,0.013208
54b700b40965e1ca937bba16365fc3a52a6de8eff1bd8c11a65bd42aa3ace1cc,11.827,0.088537
54e26855769ea12c6fc9d4d3ea5c8e8a09cc4ea3a11865adba124f6d77d48de5,3.929,0.025524
54e561415b0867b7cce3df578d76b77a9267a8aa3ddb89862a3ad493fb13aac0,9.568,0.08153
6e4849e0d92ae82380bf4bb6773a1ff27863038838a021ccade723e2adab5d73,0.817,0.006063
8b42292720589ce90e3d4b6d2eed1dab9f8f46827bf424975901902ccb6441ad,4.056,0.025967
8baaee3f0699d15a860e283880baebca72912df873c5b00fdf4d55c84ad06de7,22.831,0.191044
8bc26373fc7a9bbdd4bcab1227d76970d25c070589dd24415c3c3a8fb02f6f8e,15.765,0.083163
8bc53c486cba7fca5ffe4dd43976cbaac6bfb24acc95d23da5ad5bc0e0689a3e,0.841,0.005551
8c3f76c2e9ee36bffbbdd67dfbb67c5823051f42f4cd3f2ce47771e28973790b,16.755,0.124553
8c953a78a471f5ed443a422f015d19ae58ad382a4383825b3c375e861cf25c33,3.092,0.024677
8ca3475c4ea7f68cf9404ae41b3bcff001cc48e0ef4b0cb73ca9e1b7972e5a83,6.521,0.045754
8cf5d337ce3239c379a6f64b6018fb5bf2d39ef7f48d813c1c882f5a239703ce,12.261,0.086775
8cfb55087fa8e4c1e7bcc580d767cf2c884c1b8c890ad240c1e7009810af6736,21.056,0.194178
8d042a417c37d48336b24ca108669734e259c3298072ee95032ca4ff94928b85,3.817,0.031933
8d2e797d19c2988c3a18a7d4fd765c03cf1634df5738be1260586195bf232046,1.141,0.013674
8d3e20eec3066ae31bfec63dfc5def83ec3fb788456c18fd6f7cbec9d7689cd3,7.139,0.064295
8d8491cb71fb375f6509a6521c09f685368530ba2eed68abc8cab2f45828a65e,21.549,0.148685
8df9747354421c6cabbfabe94bef66f7ce1c5d8b002b4eb749c8534bc544b22d,10.86,0.108088
